time,mean_centered,standardized
19.509,-42.03567518,-1.524489008
19.748,-40.83567518,-1.480969145
19.988,-42.83567518,-1.553502249
20.168,-42.63567518,-1.546248939
20.197,-35.83567518,-1.299636384
20.502,-43.03567518,-1.56075556
20.748,-43.93567518,-1.593395457
21.011,-44.33567518,-1.607902078
21.257,-46.13567518,-1.673181872
21.507,-44.73567518,-1.622408699
21.854,-45.13567518,-1.636915319
22.015,-46.43567518,-1.684061837
22.827,-41.63567518,-1.509982387
25.994,-39.23567518,-1.422942661
29.063,-42.33567518,-1.535368973
30.02,-39.13567518,-1.419316006
35.009,-25.53567518,-0.926090897
37.471,-21.73567518,-0.788277998
43.5,-21.73567518,-0.788277998
47.336,-41.53567518,-1.506355732
48.854,-42.43567518,-1.538995628
49.69,-20.73567518,-0.752011446
50.663,-15.13567518,-0.548918754
52.382,-40.43567518,-1.466462524
57.088,-9.135675182,-0.331319441
57.657,-20.43567518,-0.74113148
62.859,-35.53567518,-1.288756418
64.939,-39.43567518,-1.430195972
65.939,-35.93567518,-1.303263039
71.049,-3.535675182,-0.128226749
73.227,-1.735675182,-0.062946955
77.15,-13.73567518,-0.498145581
78.183,-9.135675182,-0.331319441
80.614,0.064324818,0.002332839
82.417,10.26432482,0.372251672
83.333,5.564324818,0.201798876
84.016,-2.835675182,-0.102840162
85.02,-16.63567518,-0.603318582
86.181,-13.83567518,-0.501772236
87.917,-22.83567518,-0.828171206
90.357,-6.635675182,-0.24065306
91.249,-2.535675182,-0.091960196
94.353,1.164324818,0.042226047
99.849,-5.035675182,-0.182626577
100.837,-0.035675182,-0.001293816
101.749,6.064324818,0.219932152
103.465,-2.735675182,-0.099213507
104.704,6.064324818,0.219932152
105.636,-0.235675182,-0.008547126
107.579,7.364324818,0.26707867
108.153,14.76432482,0.535451156
109.804,20.36432482,0.738543849
111.862,25.86432482,0.938009886
113.262,35.46432482,1.286168787
114.096,30.56432482,1.108462681
114.601,43.66432482,1.583554515
115.118,42.36432482,1.536407997
116.501,31.66432482,1.148355888
117.75,36.76432482,1.333315305
118.649,42.86432482,1.554541273
119.672,41.06432482,1.489261479
120.382,34.36432482,1.246275579
121.017,46.76432482,1.695980826
122.344,41.26432482,1.496514789
123.07,45.56432482,1.652460964
124.213,37.86432482,1.373208512
124.257,35.76432482,1.297048752
124.789,35.46432482,1.286168787
125.081,48.86432482,1.772140586
125.262,42.16432482,1.529154686
125.434,46.26432482,1.67784755
126.347,42.86432482,1.554541273
126.598,36.26432482,1.315182028
126.886,31.66432482,1.148355888
127.132,31.76432482,1.151982544
127.622,44.46432482,1.612567756
127.907,44.76432482,1.623447722
128.344,43.16432482,1.565421238
128.372,56.26432482,2.040513072
128.609,55.96432482,2.029633106
128.866,51.76432482,1.877313587
129.146,33.26432482,1.206382372
129.34,32.56432482,1.180995785
129.652,27.06432482,0.981529748
