time,mean_centered,standardized
134.974,0.6393861393323657,1.6685022816774349
135.2556,0.6715861393323657,1.7525293979457244
135.4514,0.6812861393323657,1.7778419143371036
135.455,0.6158861393323656,1.6071781440282171
135.4678,0.5876861393323657,1.5335891788491565
135.7665,0.6169861393323657,1.6100486355777552
135.9945,0.5976861393323656,1.5596845565722275
136.0066,0.5634861393323657,1.4704383647593242
136.2126,0.6123861393323657,1.5980447618251428
136.318,0.6306861393323657,1.645799303058363
136.5826,0.5699861393323656,1.4874003602793202
136.8975,0.6585861393323658,1.718605406905732
137.1055,0.5726861393323657,1.4944461122645496
137.5817,0.5694861393323657,1.4860955913931668
138.5366,0.5099861393323657,1.330828093940893
139.2037,0.5289861393323657,1.3804093116147282
139.6653,0.5179861393323657,1.351704396
140.223,0.4845861393323656,1.2645458345242917
140.7992,0.44698613933236564,1.1664272142855439
141.332,0.39748613933236565,1.0372550945563412
141.8758,0.39238613933236566,1.023946451917575
141.8878,0.3709861393323657,0.9681023435902024
143.0481,0.2519861393323657,0.6575673486856545
144.1719,0.24148613933236562,0.6301672020764295
145.1796,0.23898613933236568,0.6236433576456618
146.2147,0.1529861393323657,0.39922310922724913
147.3163,0.15348613933236566,0.40052787811340257
151.6361,0.3231861393323656,0.8433664380739216
152.1936,0.2841861393323657,0.741594465
152.6528,0.22928613933236563,0.5983308412542826
153.1788,0.3778861393323657,0.9861081542191217
153.6493,0.2971861393323657,0.7755184559939367
154.0401,0.3736861393323656,0.9751480955754315
154.1372,0.3144861393323657,0.8206634594548499
154.4561,0.41258613933236565,1.0766591149181788
155.0557,0.3059861393323656,0.7984823883902391
155.3335,0.2911861393323657,0.7598612293600938
155.7528,0.3717861393323657,0.9701899738080482
156.03,0.36208613933236566,0.944877457
156.3037,0.31198613933236563,0.8141396150240818
156.7317,0.20498613933236565,0.5349190733872194
156.7452,0.31568613933236567,0.8237949047816183
157.1561,0.34818613933236564,0.9086048823815999
157.4116,0.22988613933236568,0.599896564
157.6548,0.25628613933236566,0.668788361
159.0821,0.16998613933236562,0.44358525135647003
159.208,0.2771861393323657,0.723327701
159.4946,0.29658613933236566,0.7739527333305523
159.508,0.2840861393323657,0.7413335111767133
160.3988,0.3456861393323657,0.9020810379508322
160.4934,0.3667861393323657,0.9571422849465125
160.9073,0.2801861393323657,0.7311563138647155
161.1288,0.28648613933236566,0.7475964018302502
161.358,0.2899861393323656,0.756729784
161.5077,0.24918613933236566,0.6502606429231945
161.7802,0.1560861393323657,0.4073126763214012
162.0517,0.10318613933236565,0.2692681281663541
162.4383,0.1902861393323657,0.49655886813430494
163.0303,0.033686139,0.087905253
163.3439,0.1753861393323657,0.4576767553269287
163.4624,0.17388613933236563,0.4537624486684678
163.8654,0.15958613933236565,0.416446059
164.0798,0.097086139,0.25334994775528064
164.2817,0.1157861393323657,0.30214830409742405
164.6297,0.081086139,0.2115973433983666
165.0072,0.018786139,0.04902314
165.5266,-0.090213861,-0.235416477
165.9304,-0.245113861,-0.639633878
166.3551,-0.196913861,-0.513854157
166.4934,-0.283613861,-0.740101082
167.3091,-0.362313861,-0.945471705
167.7604,-0.484613861,-1.264618174
167.8552,-0.421013861,-1.098651572
168.0763,-0.427813861,-1.116396429
168.3557,-0.548713861,-1.431889546
168.3588,-0.428413861,-1.117962152
168.6049,-0.457313861,-1.193377793
168.7632,-0.456413861,-1.191029209
168.9303,-0.392713861,-1.024801653
169.0164,-0.424913861,-1.108828769
169.5041,-0.452113861,-1.179808197
169.6291,-0.406513861,-1.060813274
170.1338,-0.465913861,-1.215819818
170.7878,-0.549613861,-1.43423813
171.7777,-0.588013861,-1.53444438
172.1502,-0.681313861,-1.777914254
172.8495,-0.546713861,-1.42667047
173.221,-0.480913861,-1.254962885
173.4882,-0.454613861,-1.186332041
173.8756,-0.446013861,-1.163890016
173.8831,-0.512313861,-1.336902371
174.1635,-0.440013861,-1.14823279
174.5725,-0.440013861,-1.14823279
174.8454,-0.449013861,-1.17171863
175.4877,-0.515013861,-1.343948123
175.6181,-0.428813861,-1.119005967
176.096,-0.381013861,-0.994270061
176.114,-0.427113861,-1.114569752
176.3636,-0.347413861,-0.906589592
176.7824,-0.307313861,-0.801947127
177.2348,-0.246213861,-0.642504369
178.4656,-0.091513861,-0.238808876
178.6789,-0.107113861,-0.279517665
179.084,0.032686139,0.085295715
179.1737,-0.005713861,-0.014910535
179.4912,0.22088613933236567,0.5764107239669028
179.7183,0.22318613933236564,0.5824126608432092
180.3068,0.2529861393323657,0.6601768864579616
180.3186,0.36628613933236565,0.9558375160603588
180.7231,0.2668861393323657,0.6964494614930308
181.0106,0.3105861393323657,0.810486262
181.3011,0.3374861393323657,0.8806828282179138
181.7461,0.2566861393323656,0.6698321762154978
182.2033,0.3413861393323656,0.8908600255299113
182.3923,0.3506861393323657,0.9151287268123678
183.0143,0.3524861393323656,0.9198258948025204
183.2868,0.27968613933236564,0.7298515449785618
183.7055,0.3629861393323657,0.9472260414117454
184.3729,0.3226861393323657,0.8420616691877683
185.2033,0.21018613933236563,0.5484886698032165
185.7726,0.33618613933236563,0.8772904291139143
186.0248,0.3155861393323657,0.8235339510043876
186.7321,0.17338613933236569,0.45245767978231444
186.7385,0.026686139332365633,0.069638489
187.4455,0.10918613933236565,0.2849253548001969
187.6891,-0.333013861,-0.869012248
188.0593,-0.008513861,-0.022217241
188.4086,-0.172013861,-0.448876667
188.7486,-0.294313861,-0.768023136
188.8515,-0.031313861,-0.081714702
189.2388,-0.068413861,-0.178528554
189.4058,-0.226013861,-0.589791706
189.6479,-0.097813861,-0.255248964
189.7982,-0.084913861,-0.221585927
190.0489,-0.336613861,-0.878406584
190.2413,-0.114813861,-0.299611106
190.3497,-0.152513861,-0.39799068
190.7005,-0.182713861,-0.476798721
191.7529,-0.432313861,-1.128139349
191.9008,-0.416013861,-1.085603883
192.0461,-0.412613861,-1.076731455
192.5168,-0.543213861,-1.417537088
192.5253,-0.514013861,-1.341338585
192.8184,-0.531013861,-1.385700727
192.9611,-0.577213861,-1.506261372
193.2049,-0.446513861,-1.165194785
193.4247,-0.480913861,-1.254962885
193.6962,-0.519413861,-1.355430089
193.9296,-0.486213861,-1.268793435
194.1811,-0.492013861,-1.283928754
194.2859,-0.502413861,-1.311067947
194.39,-0.470913861,-1.228867507
194.7516,-0.523913861,-1.367173009
195.156,-0.482813861,-1.259921006
195.5758,-0.599413861,-1.564193111
195.5834,-0.569313861,-1.485646024
195.9752,-0.606913861,-1.583764644
196.2153,-0.609813861,-1.591332303
196.3306,-0.603713861,-1.575414123
196.835,-0.594313861,-1.550884468
196.84,-0.598213861,-1.561061665
197.2711,-0.575313861,-1.50130325
197.6517,-0.571463861,-1.49125653
197.9618,-0.564113861,-1.472076427
198.288,-0.549613861,-1.43423813
198.4083,-0.538813861,-1.406055122
198.7505,-0.450013861,-1.174328167
199.0816,-0.486913861,-1.270620111
199.1796,-0.443513861,-1.157366172
199.3911,-0.459313861,-1.198596869
199.7485,-0.320513861,-0.836393026
199.8318,-0.397013861,-1.036022666
199.9791,-0.351613861,-0.917549651
200.1978,-0.313513861,-0.818126262
200.3703,-0.209813861,-0.547517195
200.7568,-0.183213861,-0.47810349
200.94,-0.083213861,-0.217149713
200.9453,-0.150013861,-0.391466836
201.044,0.044986139,0.11739302981807948
201.1465,-0.071113861,-0.185574306
201.3417,-0.070313861,-0.183486675
201.4327,-0.026113861,-0.068145106
201.6141,-0.012913861,-0.033699207
201.7884,0.11418613933236565,0.2979730436617325
201.959,0.093686139,0.2444775193294364
202.1299,0.10418613933236565,0.27187766593866125
202.1347,0.054886139332365635,0.14322745376391993
202.4091,0.13468613933236562,0.3514685679940285
202.7336,0.15378613933236562,0.4013107394450946
202.7402,0.12748613933236563,0.33267989603341724
203.2005,0.10328613933236563,0.26952908194358477
203.6648,0.14648613933236565,0.3822611137072527
203.9892,0.14518613933236568,0.3788687146032535
204.3065,0.04559307,0.337898972
204.6374,0.11108613933236566,0.28988347656758046
204.867,0.12618613933236567,0.32928749692941806
204.9964,0.10308613933236566,0.2690071743891234
205.3789,0.12838613933236565,0.33502848002849367
205.5043,0.092686139,0.24186798155712927
205.7537,0.10398613933236567,0.2713557583841999
206.0879,0.12248613933236563,0.31963220717188157
206.4054,0.084686139,0.2209916793786724
206.9734,0.11928613933236565,0.31128168630049885
207.0574,-0.068713861,-0.179311415
207.3344,0.10238613933236562,0.26718049794850834
207.6141,0.068286139,0.17819525991283547
207.8856,0.054986139,0.14348840754115075
208.2457,0.075286139,0.19646202431898535
208.8166,0.013786139332365666,0.035975451
209.2738,0.037486139332365664,0.097821497
209.2787,0.000786139,0.00205146
209.5467,-0.025913861,-0.067623198
209.9134,-0.057613861,-0.150345546
210.1863,-0.097113861,-0.253422288
210.797,-0.107913861,-0.281605296
211.031,-0.223313861,-0.582745954
211.1744,-0.234113861,-0.610928962
211.2481,-0.215913861,-0.563435375
211.5288,-0.318813861,-0.831956812
212.4376,-0.425413861,-1.110133538
212.7246,-0.438913861,-1.145362298
213.0877,-0.485713861,-1.267488666
213.3474,-0.459613861,-1.19937973
213.595,-0.457913861,-1.194943516
214.2925,-0.439713861,-1.147449928
214.5673,-0.473513861,-1.235652305
214.9843,-0.446113861,-1.16415097
215.1015,-0.407913861,-1.064466627
215.2073,-0.439813861,-1.147710882
215.3194,-0.407013861,-1.062118043
215.7592,-0.402513861,-1.050375123
216.2441,-0.314513861,-0.820735799
216.4802,-0.471213861,-1.229650368
216.5535,-0.573513861,-1.496606082
216.8566,-0.256613861,-0.669643562
217.0355,-0.213213861,-0.556389623
217.1246,-0.226813861,-0.591879337
217.65,-0.237813861,-0.620584252
217.9877,-0.271113861,-0.70748186
218.2114,-0.280913861,-0.73305533
218.6734,-0.290813861,-0.758889754
219.0127,-0.284113861,-0.741405851
219.1232,-0.260013861,-0.678515991
219.2423,-0.263513861,-0.687649373
219.4837,-0.273613861,-0.714005704
219.7467,-0.273813861,-0.714527612
220.0144,-0.258213861,-0.673818823
220.4097,-0.231713861,-0.604666072
220.5423,-0.249813861,-0.651898705
220.7881,-0.193813861,-0.50576459
221.0153,-0.171713861,-0.448093805
221.2346,-0.138213861,-0.36067429
221.459,-0.095013861,-0.247942258
221.6831,-0.094413861,-0.246376536
221.7922,-0.036213861,-0.094501437
221.9202,-0.065413861,-0.17069994
222.6438,-0.010613861,-0.02769727
222.9956,0.008986139,0.02344967
223.4032,0.058186139,0.1518389284125335
223.7702,0.1066861393323657,0.27840151036942923
223.9758,0.082186139,0.21446783494790458
224.3526,0.15768613933236564,0.41148793675709244
224.7173,0.1659861393323656,0.4331471002672415
225.0567,0.17248613933236567,0.45010909578723796
225.3674,0.18668613933236566,0.48716453215399913
225.9586,0.2636861393323656,0.6880989406216477
225.9672,0.24548613933236563,0.640605353
226.6346,0.4748861393323657,1.2392333181329127
226.7973,0.3807861393323657,0.9936758137588123
227.0896,0.4051861393323657,1.0573485354031062
227.4825,0.4190861393323657,1.0936211104381752
227.7305,0.4867861393323657,1.2702868176233677
227.7374,0.5065861393323656,1.3219556655150484
228.023,0.5063861393323656,1.321433757960587
228.1735,0.5442861393323657,1.4203352395310274
228.7874,0.5228861393323656,1.3644911312036545
229.1197,0.42358613933236566,1.1053640304135572
229.4475,0.3687861393323657,0.9623613604911267
229.6056,0.35108613933236565,0.9161725419212906
229.7865,0.30278613933236564,0.7901318675188563
230.1297,0.33088613933236566,0.8634598789206867
230.4593,0.23698613933236568,0.6184242821010476
231.0291,0.2468861393323657,0.6442587060468882
231.3083,0.27438613933236566,0.7160209947853341
231.7647,0.2153861393323656,0.5620582662192135
231.7738,0.22828613933236563,0.5957213034819755
232.1016,0.21908613933236565,0.571713556
232.4211,0.18558613933236567,0.48429404060446135
232.7215,0.17648613933236568,0.4605472468764665
233.124,0.1400861393323657,0.36556007196448714
233.3652,0.17248613933236567,0.45010909578723796
233.7245,0.091286139,0.2382146286758994
233.8419,0.1550861393323657,0.40470313854909407
234.3968,0.13538613933236565,0.35329524443464355
234.6838,0.059886139,0.15627514262545555
234.9702,0.047686139,0.12443878180330865
235.1093,0.033986139,0.088688114
235.5562,-0.029713861,-0.077539442
235.5644,-0.050513861,-0.131817827
235.8542,-0.135413861,-0.353367584
236.1073,-0.118713861,-0.309788304
236.2344,-0.103913861,-0.271167144
236.2413,-0.083513861,-0.217932574
236.6019,-0.152713861,-0.398512588
236.6083,-0.157313861,-0.410516462
236.8384,-0.249313861,-0.650593937
236.9407,-0.218613861,-0.570481127
237.0406,-0.257513861,-0.671992146
237.2683,-0.352213861,-0.919115373
237.2745,-0.283213861,-0.739057267
237.4955,-0.324513861,-0.846831177
237.5117,-0.341213861,-0.890410458
237.7101,-0.326813861,-0.852833114
237.7222,-0.351213861,-0.916505836
237.8276,-0.415413861,-1.084038161
237.9649,-0.420213861,-1.096563942
238.3675,-0.416513861,-1.086908652
238.406,-0.440013861,-1.14823279
238.4852,-0.425613861,-1.110655446
238.6923,-0.428613861,-1.118484059
238.801,-0.395913861,-1.033152174
238.8067,-0.426113861,-1.111960215
239.1204,-0.441713861,-1.152669004
239.2501,-0.441113861,-1.151103281
239.5287,-0.443613861,-1.157627126
239.5418,-0.332913861,-0.868751294
239.639,-0.370413861,-0.966608961
239.8571,-0.439013861,-1.145623252
240.0802,-0.412013861,-1.075165732
240.3591,-0.384613861,-1.003664397
240.4862,-0.377213861,-0.984353818
240.6413,-0.345313861,-0.901109563
240.7402,-0.368613861,-0.961911793
240.8608,-0.295013861,-0.769849813
241.0345,-0.271113861,-0.70748186
241.2168,-0.250613861,-0.653986336
